Fire#,X,Y,Z,oriX,oriY
312,81600.0,73950.0,3063.827381288951,1600,1450
313,84150.0,73950.0,-363.5227382637422,1650,1450
314,86700.0,73950.0,-3186.3119214379494,1700,1450
315,89250.0,73950.0,-5686.238013602283,1750,1450
316,91800.0,73950.0,-7138.223872002194,1800,1450
317,94350.0,73950.0,-7074.284350298279,1850,1450
318,96900.0,73950.0,-7367.787456852276,1900,1450
319,99450.0,73950.0,-5870.160607789156,1950,1450
320,51000.0,76500.0,3429.3272104797306,1000,1500
321,53550.0,76500.0,5647.340483931461,1050,1500
322,56100.0,76500.0,6777.904647592968,1100,1500
323,58650.0,76500.0,5919.460191958446,1150,1500
324,61200.0,76500.0,3480.497315550445,1200,1500
325,63750.0,76500.0,2125.761098506204,1250,1500
326,66300.0,76500.0,2741.6575793134525,1300,1500
327,68850.0,76500.0,3227.2522671260667,1350,1500
328,71400.0,76500.0,4484.609858808239,1400,1500
329,73950.0,76500.0,5781.963241140358,1450,1500
330,76500.0,76500.0,3468.7425731008934,1500,1500
331,79050.0,76500.0,1660.296514625119,1550,1500
332,81600.0,76500.0,69.34543746764575,1600,1500
333,84150.0,76500.0,-383.1970987060049,1650,1500
334,86700.0,76500.0,-2279.9241106260506,1700,1500
335,89250.0,76500.0,-5400.304118490289,1750,1500
336,91800.0,76500.0,-7219.734239977398,1800,1500
337,94350.0,76500.0,-7185.401922074955,1850,1500
338,96900.0,76500.0,-7327.9442972765655,1900,1500
339,99450.0,76500.0,-5334.654483834907,1950,1500
340,51000.0,79050.0,5506.926344835381,1000,1550
341,53550.0,79050.0,5119.043491068027,1050,1550
342,56100.0,79050.0,5397.765030489045,1100,1550
343,58650.0,79050.0,5144.2426664509185,1150,1550
344,61200.0,79050.0,3661.9434168145162,1200,1550
345,63750.0,79050.0,4099.076663690728,1250,1550
346,66300.0,79050.0,4528.892217937413,1300,1550
347,68850.0,79050.0,4887.001263561702,1350,1550
348,71400.0,79050.0,6047.188754025483,1400,1550
349,73950.0,79050.0,6093.820771804501,1450,1550
350,76500.0,79050.0,3347.4696605539757,1500,1550
351,79050.0,79050.0,664.9161886003312,1550,1550
352,81600.0,79050.0,-1216.4552773582764,1600,1550
353,84150.0,79050.0,-3137.22920753741,1650,1550
354,86700.0,79050.0,-4067.9240543546257,1700,1550
355,89250.0,79050.0,-5774.871523330703,1750,1550
356,91800.0,79050.0,-7327.45738265242,1800,1550
357,94350.0,79050.0,-7285.747179584128,1850,1550
358,96900.0,79050.0,-7158.923655295305,1900,1550
359,99450.0,79050.0,-5121.066643043684,1950,1550
360,51000.0,81600.0,3875.7322576823717,1000,1600
